"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 5","sex",-0.0254414320768243,0.328813086089747,0.974879473959894,0.511752033508174,1.85712987251498,-0.07737353880703,0.938377386862228,""
"Model 5","education.L",4.35010754681697,254.780111178678,77.4867959354184,1.03757330943975e-215,5.78677524731153e+218,0.0170739683199456,0.986387118029392,""
"Model 5","education.Q",4.73424625020305,215.328531157616,113.777666496318,5.81715962802352e-182,2.22537427561463e+185,0.0219861540166161,0.982471249978478,""
"Model 5","education.C",-10.0836578034052,509.557049359536,4.17564009018235e-05,0,Inf,-0.0197890654561239,0.984222665677681,""
"Model 5","education^4",7.07015590550533,385.188888643727,1176.33141649757,0,Inf,0.0183550359679371,0.985365848277197,""
"Model 5","income.L",-1.51548179215429,1.22698124981399,0.2197023084961,0.0198338532374416,2.43367255876407,-1.23513035947699,0.218476972550501,""
"Model 5","income.Q",1.08434357523897,1.06135452453041,2.95749780662583,0.369386671688683,23.6792335690129,1.02166010524968,0.308418506531193,""
"Model 5","income.C",-0.905046987161534,0.684511965082311,0.404522877274682,0.105748627620608,1.54743150734467,-1.32217847653358,0.187601664018697,""
"Model 5","income^4",0.123097720862594,0.418580875420715,1.13099493734839,0.497917541511211,2.56899876317952,0.294083480853895,0.768982121627319,""
"Model 5","employment.L",-11.4462855783306,802.027141848127,1.0689104799124e-05,0,Inf,-0.0142716935388928,0.98862117299792,""
"Model 5","employment.Q",-8.80173092886408,597.795897876471,0.000150472392541587,0,Inf,-0.0147236388876708,0.988260862499249,""
"Model 5","employment.C",-2.5479104614254,267.343364722075,0.0782449912319913,2.11928968637278e-229,2.88883520372924e+226,-0.00953047951675985,0.992401201528541,""
"Model 5","driving_freq.L",0.00307552899663945,0.543092927609449,1.00308026328818,0.34597574445329,2.90820969599542,0.00566298848739776,0.995486377701357,""
"Model 5","driving_freq.Q",-0.212506206970825,0.478372974653995,0.808555297626734,0.316599649917391,2.06494754334327,-0.444227032525258,0.657285109079757,""
"Model 5","driving_freq.C",0.158512198295296,0.423452554721948,1.17176621768836,0.51096468080801,2.6871447684886,0.374332842080455,0.70848956706938,""
"Model 5","side_effects_1.L",0.845437961519042,0.445414017843006,2.32899760256785,0.972803165804713,5.57587600805124,1.89809464375015,0.0592657764322323,"."
"Model 5","side_effects_1.Q",0.664411078214009,0.453990231552589,1.9433457056427,0.79818907330621,4.73145105331592,1.46349201378586,0.146493645519302,""
"Model 5","side_effects_1.C",-0.255859311650184,0.307674002625494,0.774250889210099,0.423627665566508,1.41507386832486,-0.831592235505253,0.406407593078424,""
"Model 5","side_effects_1^4",0.0615892378386591,0.432486685259016,1.06352539900226,0.455625232801746,2.48249261211368,0.142407246137007,0.886993822742304,""
"Model 6","(Intercept)",-2.71318045221731,344.718465423396,0.0663255257431822,2.462629671539e-295,1.78633247863052e+292,-0.00787071400101785,0.993724432120231,""
"Model 6","DBAS_Medications",-0.201015947082923,0.0833232353511075,0.817899388340491,0.694662273890518,0.962999481317997,-2.4124836996053,0.0170779003199674,"*"
"Model 6","CISS_Emotion",-0.461293861394102,0.291010289337469,0.630467380150267,0.356409820698079,1.11525859937025,-1.5851462243631,0.115032092508717,""
"Model 6","BFI_Extraversion",0.345374129754573,0.167624161251783,1.41251828594237,1.01697320915033,1.96190803274804,2.06040780264246,0.0417335419082108,"*"
"Model 6","SURPS_Anxiety_Sensitivity",0.00763466020753037,0.380362078162721,1.00766387853578,0.47812885437716,2.12366704667609,0.0200720856411564,0.984004780685815,""
"Model 6","SURPS_Hopelessness",-0.381125830562804,0.401713437181786,0.683091930369817,0.310837762333681,1.501151539096,-0.948750515383768,0.344554236679957,""
"Model 6","BFI_Openness",0.19466377052213,0.196273930463303,1.21490243179921,0.826931734606526,1.78489693528806,0.991796363697554,0.324338210019432,""
"Model 6","BFI_Neuroticism",0.129418244322165,0.162652101876935,1.13816605612153,0.827472110719713,1.56551738061662,0.795675203878301,0.42725944130818,""
"Model 6","BFI_Conscientiousness",-0.0225108873949704,0.189841087802657,0.977740592087383,0.67394995640196,1.41846832444221,-0.118577530583742,0.905816974523615,""
"Model 6","age",-0.0408737801988118,0.0241138006123752,0.959950287035806,0.915635582285051,1.00640972392142,-1.69503683205523,0.0909514302657243,"."
"Model 6","sex",-0.11309742276429,0.302257392454921,0.893063651148175,0.493850760357758,1.61498725733324,-0.374175869928998,0.708502846981663,""
