"participant_id","consensus_cluster","agreement","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10","imp_11","imp_12","imp_13","imp_14","imp_15","imp_16","imp_17","imp_18","imp_19","imp_20"
102,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
103,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
104,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
105,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
106,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
107,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
108,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
109,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
110,8,0.25,7,8,8,3,1,10,10,5,4,6,8,2,8,7,10,8,6,2,10,3
111,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
112,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
113,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
114,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
115,4,0.35,4,6,4,10,4,9,4,3,1,8,5,7,6,10,9,3,10,4,4,4
116,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
117,6,0.2,7,10,8,5,10,6,2,1,4,6,10,1,1,5,6,8,6,2,7,8
118,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
119,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
120,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
121,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
122,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
123,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
124,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
125,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
