"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 3: Demo + Clinical","income.Q",0.532829277610862,0.728150237986485,1.70374586599579,0.408875247075444,7.09935364554394,0.731757334975631,0.464793739415847,""
"Model 3: Demo + Clinical","income.C",-0.554559583726316,0.512211616438219,0.574325147646104,0.210452700473915,1.56733258578263,-1.08267670222431,0.279681251502144,""
"Model 3: Demo + Clinical","income^4",0.0942762119391021,0.3465801278551,1.0988632231449,0.557094252595226,2.16749747023103,0.272018515667804,0.78576155550229,""
"Model 3: Demo + Clinical","driving_freq.L",0.111958773376505,0.466751500801889,1.11846674908698,0.448039371240551,2.79209361746373,0.239868052237985,0.810616388972075,""
"Model 3: Demo + Clinical","driving_freq.Q",0.0092456804611116,0.430021764340564,1.00928855379388,0.434483644263708,2.34453793202185,0.0215004942256581,0.982862487148987,""
"Model 3: Demo + Clinical","driving_freq.C",0.221965957939206,0.394759155428627,1.24852887464499,0.575934127560093,2.7066018077903,0.562281975951128,0.574363857374026,""
"Model 3: Demo + Clinical","dependence_2.L",-0.609107642669128,0.434867282357112,0.543835948605703,0.231900352170932,1.27536476864798,-1.40067479753266,0.162588612585577,""
"Model 3: Demo + Clinical","dependence_2.Q",-0.371256189535152,0.460951307690716,0.689867182165087,0.279509009486163,1.70268833159726,-0.805413030272285,0.42166935420866,""
"Model 3: Demo + Clinical","dependence_2.C",0.0127133303027727,0.299175640684554,1.01279448825105,0.563453242745683,1.82047523665542,0.042494536900407,0.966139510777302,""
"Model 3: Demo + Clinical","dependence_2^4",0.16911581935695,0.346925446727839,1.18425729089928,0.599980540837382,2.33751802865259,0.487470207077718,0.626286989563872,""
"Model 3: Demo + Clinical","side_effects_1.L",1.11606454358694,0.409146314376021,3.05281630601031,1.36907833793213,6.80727109620255,2.72778833481372,0.00681952530503983,"**"
"Model 3: Demo + Clinical","side_effects_1.Q",0.711557908328246,0.407899582499502,2.03716250017857,0.915829311003717,4.53144598264223,1.74444382602209,0.0820562077802694,"."
"Model 3: Demo + Clinical","side_effects_1.C",-0.00465374899060513,0.282162731536381,0.995357062920752,0.572528534541508,1.7304564278174,-0.0164931384285422,0.986851496125698,""
"Model 3: Demo + Clinical","side_effects_1^4",0.155004010359285,0.369940515333473,1.16766264384246,0.56548053793515,2.4111104774777,0.41899711963033,0.675508164277357,""
"Model 3: Demo + Clinical","n_sleep_conditions",-0.259721847879525,0.194533857579204,0.771266085267511,0.526761071117693,1.12926221564115,-1.33509843022457,0.182658933687712,""
"Model 4: Full","(Intercept)",3.81639480795065,2.3391927690538,45.4400924040493,0.46374380696882,4452.46268879525,1.63150077173605,0.103838647350206,""
"Model 4: Full","age",-0.039353320195399,0.0249563758864968,0.961410963220969,0.915515653292981,1.00960703061368,-1.57688441520437,0.115769081264195,""
"Model 4: Full","sex",-0.0724597454618609,0.30737286025232,0.930103186780912,0.509201965893865,1.69891712130649,-0.235738917880971,0.813782393334592,""
"Model 4: Full","income.L",-0.732206768519326,0.88383835341914,0.480846701045799,0.0850488109174095,2.71859826624923,-0.828439686608728,0.407986901312437,""
"Model 4: Full","income.Q",0.391934300951102,0.745018347964354,1.47984048409613,0.343591557100279,6.37363699169917,0.526073353793234,0.599167666534229,""
"Model 4: Full","income.C",-0.546452081816738,0.528014705624339,0.579000416644152,0.205694976349554,1.62979907639747,-1.03491830056248,0.301433249327263,""
"Model 4: Full","income^4",-0.0365488448397188,0.375408212094551,0.964111000898898,0.461926754484964,2.01224547621333,-0.0973576060997663,0.922501976915727,""
"Model 4: Full","driving_freq.L",-0.240534117296279,0.527146653501011,0.786207821705352,0.279782837200581,2.20929469832895,-0.45629449736385,0.648610540390467,""
"Model 4: Full","driving_freq.Q",0.0502792289059667,0.462421340238356,1.05156468264112,0.424829826719461,2.60289700070501,0.108730338612942,0.913500657368628,""
"Model 4: Full","driving_freq.C",0.168096817600317,0.433054759970994,1.18305114527618,0.506267288033324,2.76456734500125,0.388165269472101,0.69821135256249,""
"Model 4: Full","DBAS_Medications",-0.360359582663308,0.0914431637508828,0.697425498858837,0.582988287074344,0.834326070081868,-3.94080396917401,0.000117800103119645,"***"
"Model 4: Full","CISS_Emotion",-0.152279763983492,0.2418458086708,0.858748000370394,0.534567350996484,1.37952332248776,-0.629656411332622,0.529791616432047,""
"Model 4: Full","SURPS_Hopelessness",-0.17492475197292,0.368729429981551,0.839520190630512,0.407532565263671,1.72941799146847,-0.47439867216911,0.63568783995107,""
"Model 4: Full","SURPS_Anxiety_Sensitivity",-0.293481946067321,0.340284053180783,0.745662684886493,0.382724951417786,1.45277395051567,-0.862461650271348,0.389583494768252,""
"Model 4: Full","BFI_Openness",0.135801573624085,0.173783054018469,1.14545458264175,0.814799496761238,1.61029333733066,0.781443129717657,0.435763694860625,""
"Model 4: Full","BFI_Extraversion",0.34670144151759,0.158815009163676,1.41439438288612,1.03605892906531,1.93088579637509,2.18305211417567,0.0304119889057008,"*"
"Model 4: Full","BFI_Neuroticism",0.111213363993078,0.181764512571149,1.11763334412969,0.782669254210684,1.5959542107863,0.611854109583384,0.541540324343163,""
"Model 4: Full","DBAS_Consequences",0.0742362516116593,0.0828720935239348,1.07706123289272,0.915584104597256,1.26701729920341,0.895793124741306,0.371177158854255,""
"Model 4: Full","dependence_2.L",-0.0875894886665615,0.524870647835534,0.916136884114307,0.327477490219167,2.56294498248707,-0.166878237576751,0.867652336927044,""
"Model 4: Full","dependence_2.Q",-0.646730461876919,0.510782119318213,0.523755418676851,0.192460678098066,1.42532875444608,-1.26615720757839,0.207350507833363,""
"Model 4: Full","dependence_2.C",0.178854802931396,0.328810388210563,1.1958470980686,0.627749826102687,2.27805763139337,0.543945110447244,0.587064145253226,""
"Model 4: Full","dependence_2^4",0.433599599126795,0.389878405804859,1.54280100555858,0.718519757018688,3.31269240616115,1.11214058709325,0.267197628162476,""
"Model 4: Full","side_effects_1.L",0.961305429834151,0.483223582681397,2.61510808624336,1.01428832382982,6.74245196564327,1.98935951035313,0.0478632168815093,"*"
"Model 4: Full","side_effects_1.Q",0.772460029352594,0.456444335976608,2.16508588270286,0.884997136863826,5.29673677373771,1.69234223862114,0.0916951373845354,"."
"Model 4: Full","side_effects_1.C",0.00340435350011063,0.31688460768139,1.00341015489295,0.539188807310166,1.86730867794724,0.0107431961590685,0.99143606631355,""
"Model 4: Full","side_effects_1^4",0.282673002040204,0.399564969732521,1.3266712720812,0.606243027010139,2.90321964253475,0.707451912587414,0.479905457006894,""
"Model 4: Full","n_sleep_conditions",-0.284249685815989,0.215968235618846,0.752578713015179,0.492851470292895,1.14917932363475,-1.31616431926429,0.188992536528239,""
