Model,term,Imp_OR_CI,Imp_p,Imp_sig,CC_OR_CI,CC_p,CC_sig,Sig_change
Model_2,SURPS_Sensation_Seeking,"1.31 [0.59, 2.90]",0.5093,,"1.42 [0.77, 2.59]",0.2606,,✓ Consistent
Model_2,age,"0.97 [0.92, 1.01]",0.1679,,"0.96 [0.91, 1.01]",0.1007,,✓ Consistent
Model_2,driving_freq,NA,NA,NA,"0.83 [0.56, 1.23]",0.3457,,✓ Consistent
Model_2,driving_freq.C,"1.19 [0.53, 2.67]",0.6786,,NA,NA,NA,✓ Consistent
Model_2,driving_freq.L,"0.96 [0.34, 2.68]",0.9319,,NA,NA,NA,✓ Consistent
Model_2,driving_freq.Q,"0.94 [0.38, 2.30]",0.8936,,NA,NA,NA,✓ Consistent
Model_2,education,NA,NA,NA,"1.39 [0.95, 2.05]",0.0924,,✓ Consistent
Model_2,education.C,"0.00 [0.00, Inf]",0.9846,,NA,NA,NA,✓ Consistent
Model_2,education.L,"74.38 [0.00, 3551514753010899772278250093478887826436374765481566057166730386934659662491805346937656019801323253768726280805081887507863453094081015903913968687020633544109693950087282531858250615718985160807642928322852104543557124096.00]",0.9867,,NA,NA,NA,✓ Consistent
Model_2,education.Q,"105.71 [0.00, 340324405084580846186059810527581465489218957224181068277706792219041564577549869074866524281418071542756575223003608385331559868785758773329753684508135514501654757059506833870803118850048.00]",0.983,,NA,NA,NA,✓ Consistent
Model_2,education^4,"1173.48 [0.00, Inf]",0.9856,,NA,NA,NA,✓ Consistent
Model_2,employment,NA,NA,NA,"0.91 [0.54, 1.53]",0.7248,,✓ Consistent
Model_2,employment.C,"0.09 [0.00, 1329748179044284036423840628890690069998079087095903146824116169470391894130702048922571028775953450387228995569607799652653247408412628811992171103586298464798181909419512192351650916843197911290940159191075883002179606550675456.00]",0.9928,,NA,NA,NA,✓ Consistent
Model_2,employment.L,"0.00 [0.00, Inf]",0.9887,,NA,NA,NA,✓ Consistent
Model_2,employment.Q,"0.00 [0.00, Inf]",0.9883,,NA,NA,NA,✓ Consistent
Model_2,income,NA,NA,NA,"0.76 [0.55, 1.05]",0.0969,,✓ Consistent
Model_2,income.C,"0.44 [0.11, 1.80]",0.2529,,NA,NA,NA,✓ Consistent
Model_2,income.L,"0.24 [0.02, 3.26]",0.2865,,NA,NA,NA,✓ Consistent
Model_2,income.Q,"2.60 [0.28, 24.14]",0.4018,,NA,NA,NA,✓ Consistent
Model_2,income^4,"1.19 [0.53, 2.66]",0.6753,,NA,NA,NA,✓ Consistent
Model_2,sex,"0.93 [0.50, 1.74]",0.8179,,"1.14 [0.59, 2.20]",0.6973,,✓ Consistent
Model_3,(Intercept),"0.54 [0.02, 12.73]",0.6997,,NA,NA,NA,✓ Consistent
Model_3,BFI_Conscientiousness,"0.98 [0.70, 1.36]",0.9014,,"0.88 [0.62, 1.24]",0.4579,,✓ Consistent
Model_3,BFI_Extraversion,"1.37 [1.03, 1.81]",0.0301,*,"1.52 [1.15, 2.00]",0.0034,**,✓ Consistent
Model_3,BFI_Neuroticism,"1.17 [0.88, 1.55]",0.2807,,"1.28 [0.94, 1.75]",0.115,,✓ Consistent
Model_3,BFI_Openness,"1.16 [0.83, 1.62]",0.3747,,"1.13 [0.82, 1.55]",0.4656,,✓ Consistent
Model_3,CISS_Emotion,"0.64 [0.39, 1.08]",0.0947,,"0.62 [0.35, 1.10]",0.1013,,✓ Consistent
Model_3,DBAS_Medications,"0.83 [0.72, 0.96]",0.0133,*,"0.80 [0.68, 0.95]",0.0089,**,✓ Consistent
Model_3,SURPS_Anxiety_Sensitivity,"1.24 [0.63, 2.44]",0.5362,,"1.02 [0.49, 2.11]",0.967,,✓ Consistent
Model_3,SURPS_Hopelessness,"0.84 [0.43, 1.65]",0.622,,"1.12 [0.55, 2.29]",0.747,,✓ Consistent
Model_4,(Intercept),"0.03 [0.00, 36864862011347441603373347440427824381513072980789859748095669235407196661303820078483712316389198992596367603908094295805537042073879831143420334531029874652097300494485097491844509148435325511348710343376137965385655534031081818139827602254047481450285748622280939649187366399121633490685275406336.00]",0.9924,,NA,NA,NA,✓ Consistent
Model_4,BFI_Conscientiousness,"0.98 [0.69, 1.39]",0.9061,,"0.85 [0.59, 1.23]",0.3961,,✓ Consistent
Model_4,BFI_Extraversion,"1.38 [1.02, 1.88]",0.0413,*,"1.54 [1.14, 2.08]",0.0046,**,✓ Consistent
Model_4,BFI_Neuroticism,"1.16 [0.86, 1.56]",0.3303,,"1.28 [0.93, 1.76]",0.1349,,✓ Consistent
Model_4,BFI_Openness,"1.20 [0.84, 1.71]",0.3286,,"1.14 [0.82, 1.59]",0.4407,,✓ Consistent
Model_4,CISS_Emotion,"0.64 [0.37, 1.10]",0.1094,,"0.64 [0.36, 1.16]",0.1401,,✓ Consistent
Model_4,DBAS_Medications,"0.82 [0.70, 0.95]",0.0099,**,"0.78 [0.66, 0.93]",0.0046,**,✓ Consistent
Model_4,SURPS_Anxiety_Sensitivity,"1.14 [0.55, 2.35]",0.7211,,"1.02 [0.48, 2.19]",0.9509,,✓ Consistent
Model_4,SURPS_Hopelessness,"0.78 [0.38, 1.63]",0.5122,,"0.89 [0.43, 1.86]",0.7615,,✓ Consistent
Model_4,age,"0.96 [0.92, 1.00]",0.0787,,"0.95 [0.90, 1.00]",0.061,,✓ Consistent
Model_4,driving_freq,NA,NA,NA,"0.84 [0.57, 1.24]",0.3838,,✓ Consistent
Model_4,driving_freq.C,"1.09 [0.51, 2.33]",0.8169,,NA,NA,NA,✓ Consistent
Model_4,driving_freq.L,"0.97 [0.37, 2.53]",0.9545,,NA,NA,NA,✓ Consistent
Model_4,driving_freq.Q,"0.99 [0.43, 2.30]",0.9825,,NA,NA,NA,✓ Consistent
Model_4,education,NA,NA,NA,"1.37 [0.94, 2.01]",0.1012,,✓ Consistent
Model_4,education.C,"0.00 [0.00, Inf]",0.9849,,NA,NA,NA,✓ Consistent
Model_4,education.L,"92.53 [0.00, 116090417829742564205127913237862661411057406847304837918431430915897370022648684694558126239275512510542003489164885815026094488600749898111034646065393599001163095407717421367847922522754195458068904845443362317931279217065984.00]",0.9863,,NA,NA,NA,✓ Consistent
Model_4,education.Q,"96.20 [0.00, 1683424518911434322764514623260863606742448654095720936009701493483223796068224764884187186052891636757485304474538788577219031174118854210029220523355114953726454275685875170088894159602581504.00]",0.9837,,NA,NA,NA,✓ Consistent
Model_4,education^4,"1114.93 [0.00, Inf]",0.986,,NA,NA,NA,✓ Consistent
Model_4,employment,NA,NA,NA,"0.97 [0.59, 1.58]",0.8923,,✓ Consistent
Model_4,employment.C,"0.07 [0.00, 11893615946463444730308355277721656959730146049680347280594492091749923945715174861617335978991684952162605713554669468781442564150961441368728834179066763621810685828363774102257175078262010449697136938966244262924256628996893946413056.00]",0.9925,,NA,NA,NA,✓ Consistent
Model_4,employment.L,"0.00 [0.00, Inf]",0.9893,,NA,NA,NA,✓ Consistent
Model_4,employment.Q,"0.00 [0.00, Inf]",0.9889,,NA,NA,NA,✓ Consistent
Model_4,income,NA,NA,NA,"0.72 [0.53, 0.97]",0.0322,*,✓ Consistent
Model_4,income.C,"0.44 [0.13, 1.51]",0.1921,,NA,NA,NA,✓ Consistent
Model_4,income.L,"0.26 [0.03, 2.42]",0.2376,,NA,NA,NA,✓ Consistent
Model_4,income.Q,"2.38 [0.35, 15.95]",0.3729,,NA,NA,NA,✓ Consistent
Model_4,income^4,"1.12 [0.54, 2.35]",0.7588,,NA,NA,NA,✓ Consistent
Model_4,sex,"0.86 [0.49, 1.53]",0.6109,,"1.19 [0.63, 2.25]",0.5821,,✓ Consistent
Model_5,(Intercept),"0.05 [0.00, 521091031721037260983710380753475698805676578891055158871179936291708446365976568562155417572511582309352927731164084330754690331064436165249278860534111172938552273658877650622587074798233799311461956245219669782038593882642160172856030567986161693167468428299966701890610566425978339328.00]",0.9928,,NA,NA,NA,✓ Consistent
Model_5,BFI_Agreeableness,"1.20 [0.81, 1.76]",0.364,,"1.11 [0.75, 1.65]",0.6024,,✓ Consistent
Model_5,BFI_Conscientiousness,"0.92 [0.62, 1.39]",0.6996,,"0.80 [0.54, 1.18]",0.2634,,✓ Consistent
Model_5,BFI_Extraversion,"1.43 [1.01, 2.02]",0.0455,*,"1.53 [1.12, 2.08]",0.007,**,✓ Consistent
Model_5,BFI_Neuroticism,"1.20 [0.85, 1.69]",0.3026,,"1.23 [0.87, 1.76]",0.244,,✓ Consistent
Model_5,BFI_Openness,"1.20 [0.78, 1.83]",0.4072,,"1.11 [0.78, 1.57]",0.5722,,✓ Consistent
Model_5,CISS_Avoidance,"1.22 [0.68, 2.19]",0.509,,"0.87 [0.43, 1.75]",0.6929,,✓ Consistent
Model_5,CISS_Emotion,"0.53 [0.24, 1.17]",0.1163,,"0.70 [0.31, 1.58]",0.3891,,✓ Consistent
